Episode,Timestep,Reward
0,91,-123.2308
0,182,-162.7912
0,273,-165.5275
0,364,-171.0549
1,455,-95.2747
1,546,-84.9011
1,637,-61.2308
1,728,-43.8132
2,819,-117.2418
2,910,-138.6703
2,1001,-128.4945
2,1092,-126.033
3,1183,-97.8462
3,1274,-98.7692
3,1365,-75.2198
3,1456,-39.4176
4,1547,-103.6264
4,1638,-84.3297
4,1729,-44.1978
4,1820,-42.989
5,1911,-99.044
5,2002,-84.6813
5,2093,-49.2088
5,2184,-40.0879
6,2275,-107.044
6,2366,-88.9451
6,2457,-50.0989
6,2548,-48.5275
7,2639,-96.989
7,2730,-85.3297
7,2821,-46.5604
7,2912,-33.6923
8,3003,-101.5495
8,3094,-76.3956
8,3185,-47.0659
8,3276,-49.1538
9,3367,-12.0659
9,3458,-46.6813
9,3549,-49.1978
9,3640,-46.9341
10,3731,-13.5275
10,3822,-33.6923
10,3913,-33.7692
10,4004,-39.3956
11,4095,-6.1758
11,4186,-46.2198
11,4277,-41.1099
11,4368,-42.3626
12,4459,-10.033
12,4550,-49.8352
12,4641,-51.7582
12,4732,-48.2967
13,4823,-32.3846
13,4914,-37.2527
13,5005,-25.978
13,5096,-31.6154
14,5187,-73.8242
14,5278,-34.2637
14,5369,-34.1978
14,5460,-32.8571
15,5551,-10.0879
15,5642,-38.2967
15,5733,-41.5604
15,5824,-40.8462
16,5915,-10.7692
16,6006,-40.2857
16,6097,-45.011
16,6188,-46.0989
17,6279,-28.5165
17,6370,-39.0769
17,6461,-36.5604
17,6552,-42.1538
18,6643,-53.4066
18,6734,-30.5275
18,6825,-42.2088
18,6916,-42.6264
19,7007,-43.033
19,7098,-60.3407
19,7189,-53.8462
19,7280,-60.2308
20,7371,-81.967
20,7462,-88.4505
20,7553,-91.8022
20,7644,-86.7253
21,7735,-89.4835
21,7826,-67.967
21,7917,-86.1978
21,8008,-95.2857
22,8099,-131.2088
22,8190,-88.1429
22,8281,-52.2637
22,8372,-38.7363
23,8463,-24.2637
23,8554,-44.2857
23,8645,-46.044
23,8736,-43.0879
24,8827,-41.7253
24,8918,-28.8462
24,9009,-36.6923
24,9100,-30.1648
25,9191,-47.9341
25,9282,-34.5055
25,9373,-35.2088
25,9464,-38.967
26,9555,-23.6264
26,9646,-37.4286
26,9737,-28.5714
26,9828,-35.3297
27,9919,-23.2747
27,10010,-39.9451
27,10101,-33.6264
27,10192,-37.9121
28,10283,-24.1319
28,10374,-35.5604
28,10465,-34.2308
28,10556,-32.5934
29,10647,-38.4066
29,10738,-28.7912
29,10829,-25.8901
29,10920,-30.4725
