Episode,Timestep,Reward
30,11011,-94.4615
30,11102,-38.9121
30,11193,-34.3626
30,11284,-37.6484
31,11375,-15.2418
31,11466,-34.7253
31,11557,-39.6154
31,11648,-32.3626
32,11739,-31.8791
32,11830,-34.7912
32,11921,-36.044
32,12012,-37.3077
33,12103,-13.6154
33,12194,-24.7802
33,12285,-25.3407
33,12376,-24.6154
34,12467,-11.2198
34,12558,-40.6044
34,12649,-39.6703
34,12740,-42.0879
35,12831,-15.2637
35,12922,-29.978
35,13013,-30.3407
35,13104,-28.2418
36,13195,-12.7912
36,13286,-36.3297
36,13377,-36.044
36,13468,-37.978
37,13559,-20.6813
37,13650,-29.3407
37,13741,-30.7692
37,13832,-33.5714
38,13923,-12.5385
38,14014,-33.0769
38,14105,-32.7473
38,14196,-33.6264
39,14287,-3.011
39,14378,-33.5165
39,14469,-36.2747
39,14560,-32.1429
40,14651,-10.6374
40,14742,-35.989
40,14833,-40.4396
40,14924,-35.989
41,15015,-11.2857
41,15106,-40.3297
41,15197,-40.7143
41,15288,-38.7363
42,15379,-11.6813
42,15470,-34.7253
42,15561,-34.8352
42,15652,-35.0549
43,15743,-29.7143
43,15834,-39.0659
43,15925,-39.011
43,16016,-39.1758
44,16107,-15.3516
44,16198,-27.9121
44,16289,-27.9121
44,16380,-29.6703
45,16471,-9.5604
45,16562,-31.7582
45,16653,-32.5824
45,16744,-31.7033
46,16835,-18.2637
46,16926,-32.5824
46,17017,-34.3956
46,17108,-32.7473
47,17199,-11.5165
47,17290,-31.8132
47,17381,-33.8242
47,17472,-34.7912
48,17563,-34.1648
48,17654,-29.6703
48,17745,-27.1758
48,17836,-30.4835
49,17927,-5.6484
49,18018,-34.1758
49,18109,-36.8681
49,18200,-35.8791
50,18291,-48.2637
50,18382,-26.2637
50,18473,-24.6154
50,18564,-25.2198
51,18655,-62.6374
51,18746,-35.0
51,18837,-31.4286
51,18928,-34.7802
52,19019,-0.956
52,19110,-38.4615
52,19201,-38.7912
52,19292,-39.5055
53,19383,-13.3736
53,19474,-30.3846
53,19565,-28.7363
53,19656,-29.8352
54,19747,-17.1209
54,19838,-40.8242
54,19929,-43.2967
54,20020,-44.9451
55,20111,-4.5495
55,20202,-42.7473
55,20293,-39.8901
55,20384,-42.9121
56,20475,1.4945
56,20566,-41.5385
56,20657,-41.6484
56,20748,-41.2088
57,20839,-5.7143
57,20930,-43.956
57,21021,-41.5385
57,21112,-42.5275
58,21203,-6.6593
58,21294,-39.3407
58,21385,-37.6923
58,21476,-42.8022
59,21567,-6.3736
59,21658,-42.7473
59,21749,-44.5604
59,21840,-44.7802
60,21931,-14.044
60,22022,-46.9231
60,22113,-45.3297
60,22204,-44.4505
61,22295,-15.6484
61,22386,-46.3736
61,22477,-44.7253
61,22568,-51.7033
62,22659,-20.1868
62,22750,-43.5165
62,22841,-38.6044
62,22932,-42.6923
63,23023,-13.4505
63,23114,-44.6703
63,23205,-42.9121
63,23296,-45.1648
64,23387,-20.6374
64,23478,-40.1538
64,23569,-43.3077
64,23660,-41.4396
65,23751,-33.967
65,23842,-41.2088
65,23933,-49.6484
65,24024,-47.8901
66,24115,-16.4286
66,24206,-56.7033
66,24297,-54.4286
66,24388,-62.7033
67,24479,-17.6593
67,24570,-56.0989
67,24661,-59.5604
67,24752,-61.4835
68,24843,-25.2198
68,24934,-77.5275
68,25025,-75.7143
68,25116,-79.3407
69,25207,-27.044
69,25298,-83.8462
69,25389,-82.0879
69,25480,-84.011
70,25571,-16.7363
70,25662,-70.7692
70,25753,-66.978
70,25844,-68.7912
71,25935,-15.3516
71,26026,-56.5385
71,26117,-54.4505
71,26208,-63.2418
72,26299,-29.2967
72,26390,-83.8462
72,26481,-83.9011
72,26572,-87.1429
73,26663,-43.6813
73,26754,-76.4396
73,26845,-80.4725
73,26936,-77.011
74,27027,-33.2418
74,27118,-85.2747
74,27209,-82.5275
74,27300,-79.4835
75,27391,-27.9231
75,27482,-83.956
75,27573,-88.7363
75,27664,-83.8462
76,27755,-17.011
76,27846,-60.7692
76,27937,-64.4505
76,28028,-62.5275
77,28119,-1.033
77,28210,-48.4066
77,28301,-45.4396
77,28392,-51.9231
78,28483,-21.2967
78,28574,-76.0989
78,28665,-74.4505
78,28756,-75.8791
79,28847,-19.0549
79,28938,-58.2418
79,29029,-58.5714
79,29120,-59.6703
80,29211,-24.2637
80,29302,-71.2637
80,29393,-78.0769
80,29484,-74.7802
81,29575,-23.8681
81,29666,-79.8352
81,29757,-77.1978
81,29848,-73.7363
82,29939,-17.0659
82,30030,-74.0659
82,30121,-66.2637
82,30212,-74.3407
83,30303,-21.8242
83,30394,-74.0659
83,30485,-77.5824
83,30576,-75.7692
84,30667,-26.967
84,30758,-76.0989
84,30849,-79.011
84,30940,-79.2857
85,31031,-32.9231
85,31122,-76.3187
85,31213,-79.8352
85,31304,-73.5165
86,31395,-25.7582
86,31486,-73.2418
86,31577,-70.4945
86,31668,-73.7912
87,31759,-25.6044
87,31850,-81.1538
87,31941,-77.6374
87,32032,-80.5495
88,32123,-22.5055
88,32214,-67.1538
88,32305,-65.4725
88,32396,-65.1648
89,32487,-45.7143
89,32578,-70.3736
89,32669,-68.0879
89,32760,-65.6484
90,32851,-35.1099
90,32942,-81.3736
90,33033,-83.2418
90,33124,-85.8791
91,33215,-33.8352
91,33306,-77.4176
91,33397,-79.0659
91,33488,-79.6703
92,33579,-38.3187
92,33670,-82.2527
92,33761,-74.5055
92,33852,-81.4066
93,33943,-45.5275
93,34034,-87.5824
93,34125,-92.2527
93,34216,-86.3736
94,34307,-32.3956
94,34398,-65.5604
94,34489,-66.0549
94,34580,-66.1099
95,34671,-34.5385
95,34762,-73.8681
95,34853,-75.1648
95,34944,-75.1538
96,35035,-40.022
96,35126,-82.7033
96,35217,-79.2308
96,35308,-80.4505
97,35399,-28.5165
97,35490,-71.1758
97,35581,-71.4066
97,35672,-70.8242
98,35763,-32.5495
98,35854,-81.6484
98,35945,-77.7473
98,36036,-78.1319
99,36127,-36.1978
99,36218,-61.4176
99,36309,-60.8681
99,36400,-66.3407
