Episode,Timestep,Reward
1,364,-309.481
2,728,-872.978
3,1092,-478.058
4,1456,-56.865
5,1820,-56.525
6,2184,-64.536
7,2548,-65.352
8,2912,-60.220
9,3276,-70.516
10,3640,-67.475
11,4004,-57.349
12,4368,-63.110
13,4732,-67.948
14,5096,-50.168
15,5460,-45.783
16,5824,-70.198
17,6188,-70.739
18,6552,-59.717
19,6916,-57.920
20,7280,-68.201
21,7644,-56.442
22,8008,-45.319
23,8372,-64.745
24,8736,-59.907
25,9100,-53.426
26,9464,-54.472
27,9828,-53.354
28,10192,-57.036
29,10556,-50.462
30,10920,-53.247
31,11284,-58.467
32,11648,-63.445
33,12012,-54.363
34,12376,-53.222
35,12740,-56.434
36,13104,-50.387
37,13468,-59.055
38,13832,-50.582
39,14196,-61.989
40,14560,-51.198
41,14924,-59.937
42,15288,-64.332
43,15652,-53.041
44,16016,-62.475
45,16380,-45.374
46,16744,-50.459
47,17108,-50.681
48,17472,-50.467
49,17836,-47.571
50,18200,-50.445
